# head,phon,pos,synonyms(;),example_base,example_translation
danish,ˈdeɪ.nɪʃ,noun,wienerbrød,Get me a coffee and a cheese danish.,
baby blue,,adj,babyblå,She is baby blue.,Hun er babyblå.
coal black,,adj,kulsort,Thor glared at him with hard coal-black eyes […],
unilateral,ˌjuːnɪˈlætərəl,adj,ensidig,It is very unilateral.,Det er meget ensidig.
bronchitis,bɹɒŋˈkaɪtɪs,noun,bronkitis,I can see a bronchitis.,Jeg kan se en bronkitis.
emerald green,,adj,smaragdgrøn,A emerald green car.,En smaragdgrøn bil.
aging,ˈeɪ.d͡ʒɪŋ,noun,aldring;ældning,She has a aging.,Hun har en aldring.
suck up,,verb,fedte for,The dry soil sucked up water like a sponge.,
arpeggio,ɑɹˈpɛ.d͡ʒi.oʊ,noun,arpeggio,He struck the opening chords of the passage; but this time Irene's voice was silent. Victor stopped in the middle of an arpeggio.,
sun shower,,noun,solregn;solskinsregn,We need a sun shower.,Vi behøver en solregn.
gingerly,ˈdʒɪn(d)ʒəli,adv,varsomt;forsigtigt,He placed the glass jar gingerly on the concrete step.,
usurper,juˈsɜɹ.pəɹ,noun,tronraner;usurpator,I can see a usurper.,Jeg kan se en tronraner.
homesickness,,noun,hjemve;hjemlængsel,I can see a homesickness.,Jeg kan se en hjemve.
alternative medicine,,noun,alternativ medicin;alternativ behandling,"Unlike their conventional counterparts, practitioners of alternative medicine often excel at harnessing the placebo effect, says Dr Ernst.",
magnolia,ˌmæɡˈnəʊ.li.ə,noun,magnolie;magnolia,I can see a magnolia.,Jeg kan se en magnolie.
uninhabited,ˌʌn.ɪnˈhæb.ɪ.tɪd,adj,ubeboet,This is not a contradiction since an uninhabited type has no complete terms and a probability distribution over an empty type is ill defined anyway.,
zeitgeist,ˈzaɪtˌɡaɪst,noun,tidsånd;zeitgeist,"[Robert] Heinlein’s gift was to catch the zeitgeist. “That’s what made him so successful, but it makes his work seem dated.”",
hole in one,,noun,hole-in-one,"If we can get the entire thing moved over in a day, it'll be a hole in one with the customer.",
residency,ˈɹɛzɪdənsi,noun,ophold;bosæde,The trance DJ was keen to secure a residency in Ibiza.,
cassette,kəˈsɛt,noun,kassette,"If you need to reload film, the cassette can be rewound slightly by turning the hub located on one end of its spool.",
epithelium,ˌɛpɪˈθiːlɪəm,noun,epitel,The sap of this species was able to cause loss of corneal epithelium 16 h after direct exposure to the sap in a 60-year-old male.,
pharmacological,ˌfɑɹməkəˈlɒd͡ʒɪkəl,adj,farmakologisk,She is pharmacological.,Hun er farmakologisk.
cruft,kɹʌft,noun,skrammel,I can see a cruft.,Jeg kan se en skrammel.
transmissible spongiform encephalopathy,,noun,overførbare svampeagtige hjernesygdomme,I can see a transmissible spongiform encephalopathy.,Jeg kan se en overførbare svampeagtige hjernesygdomme.
whistle-blower,,noun,whistleblower,We owe it to a small group of brave whistle-blowers that we know about the infractions at all.,
airlock,,noun,luftsluse,She has a airlock.,Hun har en luftsluse.
riffraff,ˈɹɪfɹæf,noun,pøbel;pak,They started charging a modest fee in an effort to keep the riffraff out.,
arteriole,,noun,arteriol,We need a arteriole.,Vi behøver en arteriol.
rectum,ˈɹɛktəm,noun,endetarm,I can see a rectum.,Jeg kan se en endetarm.
diss,dɪs,verb,disse,We must diss now.,Vi skal disse nu.
fetch,fɛt͡ʃ,verb,hente,You have to fetch some sugar in order to proceed with the recipe.,
clandestinely,klænˈdɛs.tɪn.li,adv,hemmelighedsfuld;hemmelig;ureglementeret,They work clandestinely.,De arbejder hemmelighedsfuld.
hog,hɒɡ,noun,svin,resource hog,
fuckable,ˈfʌkəbl̩,adj,knepbar,This is an inevitable downside of female stardom—she may marry and consider mating but she must stay fuckable at all costs.,
modify,ˈmɒdɪfaɪ,verb,modificere,Her publisher advised her to modify a few parts of the book to make it easier to read.,
through the roof,,prep_phrase,til vejrs,Fuel prices have gone through the roof since last fall.,
refrain,ɹɪˈfɹeɪn,noun,refræn;omkvæd,We need a refrain.,Vi behøver en refræn.
eating disorder,,noun,spiseforstyrrelse,I can see a eating disorder.,Jeg kan se en spiseforstyrrelse.
login,ˈlɒɡ.ɪn,noun,log-in,I've forgotten my login again.,
duodenum,ˌdjuːə(ʊ)ˈdiːnəm,noun,tolvfingertarm,"Duodenums were dissected out, fixed and photographed.",
aromatherapy,əˌrəʊməˈθɛrəpi,noun,aromaterapi,I can see a aromatherapy.,Jeg kan se en aromaterapi.
python,ˈpaɪθən,noun,pyton,I can see a python.,Jeg kan se en pyton.
ethnic cleansing,,noun,etnisk udrensning,These television stations are part of the apparatus and power of Milosevic. This is the apparatus he has used to do the ethnic cleansing in Kosovo.,
virgin olive oil,,noun,jomfruolivenolie,I can see a virgin olive oil.,Jeg kan se en jomfruolivenolie.
piracy,ˈpaɪɹəsi,noun,pirateri;sørøveri;kapring;piratkopiering,How should the international community respond to Somali piracy?,
skin cancer,,noun,hudkræft,I can see a skin cancer.,Jeg kan se en hudkræft.
pneumonia,njuˈməʊniə,noun,lungebetændelse,"He had always been remarkably immune from such little ailments, and had only once in his life been ill, of a vicious pneumonia long ago at school.",
caboose,kəˈbuːs,noun,efternøler,"A tremendous billow, fringed with foam, swept over our deck, carrying the cook's caboose, cooking utensils and stove right overboard into the sea.",
lowdown,,noun,historie,All the reporters hoped to be the first to get the lowdown on the celebrity's marriage plans.,
scoop,skuːp,noun,scoop,She kept a scoop in the dog food.,
stop the presses,,verb,stop trykpressen,She can stop the presses.,Hun kan stop trykpressen.
bell pepper,,noun,peberfrugt;peber;paprika,"Near-synonyms: sweet pepper (UK), capsicum (Australia)",
best man,,noun,forlover,I can see a best man.,Jeg kan se en forlover.
hangover,ˈhæŋoʊvɚ,noun,levn,"I really enjoyed yesterday’s party, but now I have the biggest hangover – I’ll not be doing that again any time soon.",
discomfort,dɪsˈkʌmfət,noun,ubehag;gene,I can see a discomfort.,Jeg kan se en ubehag.
antibiotic,ˌæn.ti.baɪˈɒt.ɪk,noun,antibiotikum,We selected colistimethate sodium (CMS) as our antibiotic of choice.,
antibiotic,ˌæn.ti.baɪˈɒt.ɪk,adj,antibiotisk,A antibiotic car.,En antibiotisk bil.
monetary,ˈmʌnɪtəɹi,adj,monetær,"Although of little monetary value, Rosie treasured her late grandfather's old hunting gear.",
constituent,kənˈstɪtjuənt,noun,bestanddel,"We know how to bring these constituents together, and to cause them to form water.",
separate the wheat from the chaff,,verb,skille klinten fra hveden,I will separate the wheat from the chaff tomorrow.,Jeg vil skille klinten fra hveden i morgen.
consult,ˈkɒnsʌlt,verb,rådspørge,Let us consult upon to-morrow's business.,
hepatitis,ˌhɛpəˈtaɪ̯tɪs,noun,leverbetændelse;hepatitis,Hepatitises B and C are the most important chronic viral infections of humans.,
termination,tɚmɪˈneɪʃən,noun,afbrud;fyring;endelse,"Women's names were formed in the same way as men's, but with feminine terminations […]",
decipher,dɪˈsaɪfə(ɹ),verb,dechifrere;afkode,She can decipher.,Hun kan dechifrere.
white dwarf,,noun,hvid dværg,I can see a white dwarf.,Jeg kan se en hvid dværg.
urinary bladder,,noun,urinblære,She has a urinary bladder.,Hun har en urinblære.
urea,jʊˈɹiːə,noun,urea;urinstof,We need a urea.,Vi behøver en urea.
cycling,ˈsaɪk(ə)lɪŋ,noun,cykling,"In all my years as a cycling fan, I've never seen a breakaway like this.",
gall bladder,,noun,galdeblære,"Giraffes, oddly, sometimes have gall bladders and sometimes donʼt.",
pickaxe,ˈpɪkˌæks,noun,hakke,He was mining stone using a pickaxe.,
defender,dɪˈfɛndə(ɹ),noun,forsvar;forsvarer,"There was another protection to which she was intitled by that law, namely, a defender; but she had none.",
comprehensive school,,noun,enhedsskole,I can see a comprehensive school.,Jeg kan se en enhedsskole.
truss,tɹʌs,noun,brokbind,"A truss may keep the abdominal contents from protruding into the hernial sac; however, this won't cure the hernia.",
